node_id,a_i,l_i,a_h
453308,6.3261,0.521,0.18861
453465,0.89296,0.421,0.18864
524602,1282.85,0.877,0.56593
524598,1276.71,0.294,0.12571
524594,1253.9,1.434,1.471
465184,1181.65,0.557,0.16341
465185,1182.85,0.294,0.31435
455946,5.2679,0.781,0.28913
432461,24.7175,0.096,0.025211
432467,34.8535,0.517,0.31518
430635,18.284,0.851,0.37843
430629,7.4504,0.747,0.54221
431979,1.2102,1.072,0.68074
389213,2.1151,0.519,0.22797
389214,7.4463,0.422,0.29129
375594,24.3404,0.326,0.3298
392619,59.0241,0.096,0.025328
412408,1.3012,1.648,1.3012
420348,46.3927,0.902,0.68167
416196,0.21468,0.882,0.21468
522875,2840.95,0.421,0.23999
426822,25.2177,1.035,0.56791
416187,0.51775,0.94,0.51775
450497,0.64163,0.85,0.64163
453109,5.6347,0.766,0.60369
429171,0.60531,0.096,0.063054
441572,0.52891,1.101,0.52891
418171,3.1312,0.488,0.26518
444133,1.0827,1.555,1.0827
522832,2621.81,0.163,0.050293
449216,2.1265,0.909,0.44043
428154,1.589,0.294,0.075671
417373,3.3587,0.747,0.25251
454114,6.8036,1.238,0.71689
423284,0.95888,0.163,0.063089
522823,2590.83,1.407,0.69325
522833,2622.36,0.131,0.025224
453111,0.2767,1.04,0.2767
524616,1318.12,0.263,0.075562
423420,0.10094,0.457,0.10094
522828,2613.59,0.619,0.5918
522830,2617.63,0.457,0.22694
444515,0.4532,0.746,0.4532
522831,2618.18,0.294,0.11332
522824,2591.45,0.583,0.34033
451476,0.12579,0.488,0.12579
455754,0.96816,0.842,0.32689
457465,0.49028,0.163,0.01257
462694,0.40199,0.583,0.40199
455458,1.0814,0.425,0.13831
457605,5.0531,0.75,0.25143
457602,1.1188,0.163,0.01257
270455,0.20508,0.588,0.20508
267568,1.0897,1.931,1.0897
266074,43.8673,0.327,0.23073
310374,66.1318,0.097,0.0383
292665,0.20463,0.783,0.20463
269279,3.1406,0.917,0.33326
307080,50.039,1.603,1.0871
307083,56.4849,0.426,0.4221
459447,0.13824,0.39,0.13824
475505,1.7686,0.611,0.3512
480925,1.1282,1.795,1.1282
475845,2.9974,0.258,0.15048
483846,0.17545,0.714,0.17545
465825,129.365,0.258,0.050247
522772,2155.34,0.964,0.99048
473797,0.79043,0.965,0.79043
522791,2177.63,0.263,0.087728
475007,0.26342,0.65,0.26342
472525,1.7066,0.678,0.40151
475348,3.2485,1.519,0.5267
522741,1756.25,0.647,0.35097
486022,0.13782,0.394,0.13782
522787,2172.91,0.75,0.46397
465828,131.463,0.325,0.12567
473434,0.1631,0.449,0.1631
522784,2169.48,1.113,0.95293
522742,1757.76,0.618,0.31332
522798,2186.54,0.42,0.13794
522783,2168.08,0.611,0.46387
522776,2160.71,0.286,0.21303
480615,1.8177,0.325,0.087756
460352,0.20105,0.516,0.20105
522804,2238.98,1.105,1.0291
485466,1.3156,1.53,0.85208
522806,2243.8,0.684,0.30088
477765,0.2508,0.774,0.2508
499940,1.5888,1.133,0.5754
499941,0.67549,1.262,0.67549
499942,0.22517,0.587,0.22517
500087,0.20015,0.42,0.20015
500088,0.2877,0.94,0.2877
500089,0.15011,0.394,0.15011
500090,0.50036,0.811,0.50036
500091,0.40027,1.524,0.40027
500092,0.18764,0.487,0.18764
500093,2.0013,0.718,0.72554
500098,0.16262,0.618,0.16262
500099,0.5629,1.3,0.5629
500100,0.41281,0.705,0.41281
500101,0.85066,1.231,0.85066
500102,1.4011,0.448,0.36277
500103,2.9273,1.645,1.301
500104,3.6903,0.162,0.025016
500105,4.2531,0.162,0.025016
500106,0.17513,0.42,0.17513
500107,0.21266,0.425,0.21266
500108,0.41279,0.744,0.41279
500109,10.2062,1.254,0.58793
500253,0.82556,1.81,0.82556
500254,0.17513,0.353,0.17513
500255,0.18763,0.487,0.18763
500256,0.46282,0.904,0.46282
500257,0.38777,0.688,0.38777
500258,0.31272,1.105,0.31272
500259,0.26269,0.515,0.26269
500260,0.42532,0.162,0.11259
500261,1.9012,0.257,0.23766
500262,2.8143,0.618,0.15011
500264,0.16262,0.286,0.16262
500265,0.2877,0.448,0.2877
500266,1.7888,0.257,0.18764
500267,2.6519,0.448,0.36278
500425,0.50036,0.881,0.50036
500426,0.66293,0.811,0.20014
500427,0.688,0.935,0.688
500428,0.26268,0.677,0.26268
500429,1.0007,0.906,0.48785
500434,0.5504,0.353,0.5504
500435,1.6009,0.162,0.1626
500436,0.71297,0.963,0.71297
500437,1.1258,1.931,1.1258
500438,0.31271,0.456,0.31271
500439,0.20014,0.515,0.20014
500440,0.16261,0.42,0.16261
500441,0.66297,0.85,0.66297
500442,0.763,0.582,0.087562
500443,2.3142,1.669,0.98825
500445,0.4503,0.572,0.4503
500571,1.2259,0.618,0.1501
500572,1.1257,1.63,0.32524
500573,0.31272,0.749,0.31272
500574,0.32521,0.677,0.32521
500575,0.96319,0.618,0.12508
500576,0.36274,0.543,0.36274
500577,1.0508,1.457,1.0508
500578,0.41278,0.582,0.41278
500579,0.22515,0.425,0.22515
500580,0.82559,1.625,0.82559
500581,0.51284,0.61,0.51284
500582,0.73798,1.058,0.73798
500583,0.31271,0.942,0.31271
500776,0.18762,0.582,0.18762
500777,0.25016,0.515,0.25016
500778,0.16261,0.353,0.16261
500779,1.1133,0.131,0.087557
500780,1.3635,0.324,0.087554
500781,0.60038,1.326,0.60038
500782,0.23765,0.42,0.23765
500783,0.26268,0.582,0.26268
500784,0.40026,0.353,0.40026
500785,0.76302,1.746,0.76302
500786,1.1383,1.468,1.1383
500787,1.3508,0.456,0.20013
500794,0.75047,2.07,0.75047
500795,0.63793,0.42,0.11257
500972,0.4628,0.896,0.4628
500973,4.8165,0.263,0.075048
500974,5.4544,0.582,0.1751
500975,7.0802,0.162,0.037521
500976,9.0935,0.649,0.48777
500977,10.5321,0.42,0.21262
500978,11.2324,0.837,0.52529
500979,11.7952,0.42,0.27513
500980,13.2333,1.354,0.81286
500981,13.7461,0.162,0.025013
500982,0.27518,0.42,0.27518
500984,6.7526,0.618,0.56285
500985,7.9157,0.162,0.012508
500986,10.3049,0.131,0.012509
500987,10.9303,0.131,0.025019
500989,1.8262,1.007,0.68793
500990,0.81296,1.56,0.81296
500991,0.40024,0.551,0.40024
500992,0.6254,0.705,0.6254
500993,1.2258,0.713,0.43777
500994,2.752,1.074,0.97574
500995,0.7755,1.45,0.7755
500996,0.21263,0.42,0.21263
500997,0.17511,0.587,0.17511
500998,0.51284,1.058,0.51284
500999,0.37523,0.78,0.37523
501000,0.33772,0.448,0.33772
501001,0.26267,0.868,0.26267
501002,0.82552,1.138,0.4503
501003,0.1501,0.42,0.1501
501004,0.35023,1.164,0.35023
501005,1.2132,1.238,1.2132
501123,0.21263,0.515,0.21263
501124,1.1883,0.487,0.1501
501125,0.30019,0.94,0.30019
501126,0.21263,0.556,0.21263
501127,0.55035,0.515,0.55035
501128,0.38772,0.42,0.38772
501129,1.8385,2.889,1.8385
501130,7.4568,0.487,0.05003
501131,0.18761,0.456,0.18761
501132,0.41276,0.705,0.41276
501262,0.48777,1.359,0.48777
501263,0.1626,0.618,0.1626
501264,0.67539,1.771,0.67539
501265,1.0006,1.64,1.0006
501266,0.25015,0.582,0.25015
501267,0.76298,1.259,0.76298
501268,0.83798,0.162,0.062536
501269,0.6629,1.2,0.6629
501270,1.1131,1.83,1.1131
501271,0.5003,1.136,0.5003
501272,2.4266,1.192,0.60035
501273,3.7649,1.411,0.92557
501274,5.5662,2.508,1.5761
501275,1.4385,1.694,0.96317
501277,0.26265,0.61,0.26265
501278,0.18761,0.487,0.18761
501279,0.13758,0.551,0.13758
501280,0.21263,0.515,0.21263
501281,0.26266,0.868,0.26266
501440,23.2416,0.618,0.18761
501441,1.3882,0.587,0.25015
501442,0.42525,0.906,0.42525
501443,0.38771,0.912,0.38771
501444,2.4138,1.125,0.93802
501445,2.7389,0.582,0.13757
501446,0.73789,1.112,0.73789
501447,0.56279,1.331,0.56279
501448,0.53781,1.122,0.53781
501449,0.22512,0.515,0.22512
501450,0.16259,0.425,0.16259
501451,0.25015,0.718,0.25015
501452,0.5753,0.095,0.037522
501453,1.3382,0.839,0.37521
501454,0.22514,0.912,0.22514
501583,0.40022,0.801,0.40022
501584,29.8481,0.649,0.30017
501585,31.3866,0.61,0.35022
501586,33.2251,0.42,0.3002
501587,33.7755,0.587,0.25018
501593,0.26265,0.638,0.26265
501594,0.36272,0.942,0.36272
501595,1.1506,1.205,0.30017
501596,0.52532,1.136,0.52532
501597,1.1005,0.162,0.025014
501598,0.25014,0.525,0.25014
501599,0.31267,0.971,0.31267
501600,0.35019,1.419,0.35019
501601,0.61288,1.275,0.61288
501602,0.61283,0.829,0.61283
501603,0.80046,1.153,0.80046
501604,7.4661,0.162,0.025014
501605,8.5543,0.61,0.52533
501606,9.3048,0.618,0.45029
501607,12.3946,2.711,2.677
501616,0.30016,0.425,0.30016
