src,dst
526409,526609
526608,526609
525634,526610
526609,526610
525288,526611
526610,526611
524642,526612
526611,526612
525770,526614
526104,526614
394808,395552
395551,395552
395552,395553
395916,395553
394996,395563
395219,395563
394660,395566
395012,395566
394141,395568
395567,395568
395744,395571
396916,395571
263990,264587
264906,264587
264587,264588
265913,264588
264588,264589
263707,264589
394965,395727
395915,395727
393909,395728
395727,395728
394806,395729
395728,395729
395729,395730
396660,395730
395560,395734
395925,395734
396512,395737
396513,395737
349952,349953
350724,349953
349958,349959
353824,349959
264166,264761
264581,264761
264422,264762
264761,264762
264762,264763
265277,264763
526614,526979
527519,526979
526979,526980
528197,526980
526980,526981
528921,526981
526981,526982
528347,526982
528530,526982
526982,526983
527351,526983
529832,526983
526983,526984
532448,526984
526984,526985
532268,526985
529998,526985
526985,526986
533418,526986
526986,526987
533073,526987
395738,395932
396359,395932
394830,395933
395932,395933
395934,395935
396517,395935
395568,395937
396360,395937
394661,395938
395937,395938
394142,395939
395938,395939
397997,395939
525931,527170
526988,527170
527185,527176
529365,527176
527176,527177
528202,527177
526615,527178
527177,527178
527178,527179
527521,527179
526420,527180
527179,527180
525091,527181
530016,527181
526421,527182
527181,527182
527182,527183
527522,527183
524793,527184
527183,527184
525772,527185
527184,527185
395557,396126
396494,396126
395920,396126
395558,396127
396126,396127
396665,396132
396862,396132
396132,396133
396861,396133
396668,396136
396669,396136
395218,396138
395735,396138
395563,396139
396138,396139
395927,396140
396139,396140
395566,396144
400677,396144
396144,396145
398319,396145
393588,396146
396145,396146
396361,396148
395374,396148
525923,527337
526605,527337
526767,527338
526974,527338
526976,527339
528343,527339
528189,527340
529053,527340
526102,527341
527340,527341
527341,527342
527347,527342
525080,527343
527342,527343
527343,527344
524022,527344
527344,527345
523830,527345
527345,527346
523315,527346
526413,527348
526772,527348
526771,527349
527348,527349
527349,527350
527512,527350
527350,527351
528529,527351
396125,396337
396851,396337
396337,396338
395367,396338
394294,396339
396338,396339
394297,396342
395917,396342
395554,396343
395555,396343
265271,265272
266062,265272
263693,265273
265272,265273
263694,265274
265273,265274
265274,265275
266063,265275
263695,265276
265275,265276
397047,396353
397524,396353
263213,265284
265755,265284
396901,396360
397186,396360
396677,396364
396915,396364
459283,459284
459282,459284
459285,459286
459441,459286
459286,459287
460508,459287
459085,459288
460946,459288
525635,527509
527169,527509
527509,527510
527680,527510
527510,527511
528195,527511
527170,527513
528199,527513
527513,527514
528348,527514
526106,527515
526255,527515
527514,527515
527352,527516
527515,527516
525771,527517
527516,527517
527517,527518
528532,527518
527518,527519
528531,527519
458627,459292
459291,459292
328223,328221
329134,328221
456270,459294
459293,459294
459294,459295
456101,459295
459296,459297
455470,459297
397173,396495
398767,396495
396349,396496
396495,396496
396496,396497
396857,396497
396497,396498
396502,396498
396498,396499
397045,396499
394655,396500
396499,396500
396129,396501
396500,396501
397326,396505
397986,396505
396354,396506
396505,396506
395561,396507
396506,396507
394519,396508
396507,396508
393437,396509
396508,396509
392659,396509
396509,396510
391119,396510
396510,396511
390748,396511
396358,396515
397054,396515
396676,396519
397544,396519
395942,396522
396521,396522
328231,328232
328837,328232
328440,328233
329649,328233
265907,265493
266064,265493
265493,265494
266375,265494
264904,265495
265091,265495
264764,265496
265495,265496
265496,265497
265908,265497
265497,265498
265278,265498
407245,415622
407867,415622
415621,415622
548002,546695
547843,546695
546695,546696
547312,546696
526254,527824
527168,527824
527678,527824
528733,527825
528734,527825
527684,527826
527825,527826
526617,527827
527826,527827
527523,527828
527827,527828
525936,527829
527828,527829
525487,527830
527829,527830
526422,527831
527830,527831
528352,527833
528534,527833
527833,527834
528533,527834
527832,527835
527834,527835
527524,527836
527835,527836
266748,265739
267371,265739
265739,265740
265906,265740
265276,265741
265740,265741
264902,265742
265741,265742
263209,265743
265742,265743
262209,265744
265743,265744
265744,265745
261289,265745
263210,265746
265745,265746
265746,265747
263483,265747
265747,265748
261814,265748
265748,265749
261658,265749
262210,265750
265749,265750
264903,265751
265750,265751
265494,265752
265751,265752
264421,265753
265752,265753
265753,265754
266065,265754
396124,396848
396335,396848
397168,396848
396659,396849
396848,396849
396849,396850
397979,396850
396858,396856
398141,396856
396856,396857
397174,396857
397322,396859
397521,396859
397788,396859
396503,396860
396859,396860
397528,396865
398155,396865
396135,396866
396865,396866
396136,396867
396866,396867
394312,396868
394521,396868
396867,396868
393755,396869
396868,396869
394520,396870
396869,396870
396511,396871
396870,396871
396871,396872
391313,396872
396872,396873
392128,396873
396873,396874
392434,396874
396355,396875
397180,396875
396140,396876
397183,396876
396876,396877
398159,396877
395736,396878
396877,396878
396878,396879
397987,396879
396141,396880
396879,396880
395928,396881
396880,396881
393923,396882
396881,396882
396882,396883
392443,396883
396883,396884
393205,396884
396884,396885
391781,396885
396885,396886
392297,396886
394826,396887
396886,396887
396887,396888
391608,396888
396888,396889
391980,396889
396889,396890
397535,396890
396890,396891
393206,396891
393440,396892
396891,396892
395737,396893
395929,396893
396892,396893
393756,396894
396893,396894
396894,396895
392444,396895
395930,396896
396895,396896
396896,396897
392445,396897
393757,396898
394827,396898
396897,396898
396898,396899
391785,396899
396899,396900
392825,396900
396148,396902
400295,396902
396902,396903
398165,396903
395569,396904
396903,396904
396519,396905
396904,396905
395014,396906
396905,396906
395940,396907
396906,396907
393928,396908
396907,396908
395222,396909
396908,396909
396909,396910
393211,396910
394318,396911
396910,396911
396911,396912
392135,396912
396912,396913
391617,396913
528019,528020
528200,528020
528020,528021
528726,528021
527171,528022
528021,528022
527172,528023
528022,528023
528023,528024
528201,528024
526989,528025
528024,528025
527353,528026
528025,528026
527187,528030
527683,528030
527355,528031
527685,528031
527526,528032
528031,528032
266374,265906
266749,265906
265281,265911
265282,265911
397779,397044
397780,397044
396663,397045
397044,397045
396666,397046
397324,397046
397328,397051
397793,397051
528345,528188
528920,528188
528017,528189
528188,528189
528194,528190
529058,528190
528190,528191
529057,528191
526978,528192
528191,528192
528192,528193
528527,528193
528528,528193
527681,528197
528196,528197
528725,528198
529061,528198
528198,528199
528724,528199
528353,528203
529532,528203
528203,528204
528536,528204
530026,528205
530991,528205
527354,528206
528205,528206
264763,266066
265754,266066
267198,266066
266066,266067
267700,266067
266067,266068
268298,266068
266068,266069
268760,266069
265498,266070
266069,266070
268299,266070
266070,266071
267200,266071
266071,266072
268932,266072
266072,266073
270454,266073
266073,266074
267568,266074
266074,266075
269932,266075
266075,266076
270827,266076
266076,266077
269280,266077
349979,350183
350604,350183
351330,350183
396854,397171
397520,397171
397778,397171
397172,397173
398480,397173
396875,397181
398157,397181
397181,397182
397792,397182
397182,397183
398158,397183
396514,397184
397053,397184
527676,528341
527823,528341
397171,397318
396347,397318
397981,397318
396662,397319
397318,397319
397538,397333
398316,397333
397333,397334
397794,397334
396143,397335
397334,397335
546845,546833
546523,546833
546833,546834
547309,546834
547841,546834
546834,546835
545535,546835
546835,546836
545170,546836
416571,415765
416569,415765
526406,528519
522681,528519
528519,528520
529526,528520
528340,528521
528520,528521
528723,528521
527508,528523
528344,528523
528523,528524
529530,528524
546841,546842
543689,546842
546842,546843
543038,546843
546843,546844
541871,546844
305400,306546
306278,306546
547476,546848
547311,546848
306140,306550
305553,306550
546848,546849
545865,546849
306550,306551
306139,306551
546849,546850
543361,546850
543362,546850
398306,397519
398475,397519
396863,397523
397323,397523
397327,397526
398310,397526
397526,397527
398770,397527
399419,397527
397050,397528
397527,397528
397988,397529
398612,397529
397051,397530
397529,397530
397989,397530
396142,397531
397530,397531
395564,397532
397531,397532
396670,397533
397532,397533
397052,397534
397533,397534
396671,397535
397534,397535
397537,397536
398315,397536
397339,397540
397999,397540
396675,397541
397540,397541
396518,397542
397541,397542
395739,397543
397542,397543
437177,437629
437628,437629
305557,306558
305708,306558
306559,306560
307040,306560
306560,306561
306562,306561
265492,266548
266373,266548
265270,266549
265737,266549
266061,266549
265909,266550
265279,266550
266376,266550
267201,266551
266377,266551
265911,266552
266551,266552
266552,266553
267701,266553
265912,266554
266553,266554
266378,266555
266554,266555
266555,266556
268016,266556
266556,266557
268581,266557
266557,266558
268582,266558
266558,266559
269086,266559
266559,266560
265283,266560
528923,528727
529237,528727
529238,528729
