node_id,q,h0,h1,h2,h3,h4
465419,0.001,0.0,0.1,0.0,0.0,0.0
466943,0.001,0.0,0.1,0.0,0.0,0.0
472678,0.001,0.0,0.1,0.0,0.0,0.0
470198,0.001,0.0,0.1,0.0,0.0,0.0
475823,0.001,0.0,0.1,0.0,0.0,0.0
491089,0.001,0.0,0.1,0.0,0.0,0.0
467769,0.001,0.0,0.1,0.0,0.0,0.0
471834,0.001,0.0,0.1,0.0,0.0,0.0
490822,0.001,0.0,0.1,0.0,0.0,0.0
490976,0.001,0.0,0.1,0.0,0.0,0.0
476608,0.001,0.0,0.1,0.0,0.0,0.0
490823,0.001,0.0,0.1,0.0,0.0,0.0
481733,0.001,0.0,0.1,0.0,0.0,0.0
482951,0.001,0.0,0.1,0.0,0.0,0.0
469350,0.001,0.0,0.1,0.0,0.0,0.0
471351,0.001,0.0,0.1,0.0,0.0,0.0
472499,0.001,0.0,0.1,0.0,0.0,0.0
471535,0.001,0.0,0.1,0.0,0.0,0.0
491233,0.001,0.0,0.1,0.0,0.0,0.0
494492,0.001,0.0,0.1,0.0,0.0,0.0
494813,0.001,0.0,0.1,0.0,0.0,0.0
482406,0.001,0.0,0.1,0.0,0.0,0.0
496737,0.001,0.0,0.1,0.0,0.0,0.0
495020,0.001,0.0,0.1,0.0,0.0,0.0
491549,0.001,0.0,0.1,0.0,0.0,0.0
494281,0.001,0.0,0.1,0.0,0.0,0.0
494010,0.001,0.0,0.1,0.0,0.0,0.0
474998,0.001,0.0,0.1,0.0,0.0,0.0
467757,0.001,0.0,0.1,0.0,0.0,0.0
496736,0.001,0.0,0.1,0.0,0.0,0.0
494011,0.001,0.0,0.1,0.0,0.0,0.0
493638,0.001,0.0,0.1,0.0,0.0,0.0
471682,0.001,0.0,0.1,0.0,0.0,0.0
491234,0.001,0.0,0.1,0.0,0.0,0.0
474102,0.001,0.0,0.1,0.0,0.0,0.0
496105,0.001,0.0,0.1,0.0,0.0,0.0
474711,0.001,0.0,0.1,0.0,0.0,0.0
474710,0.001,0.0,0.1,0.0,0.0,0.0
495017,0.001,0.0,0.1,0.0,0.0,0.0
498189,0.001,0.0,0.1,0.0,0.0,0.0
491401,0.001,0.0,0.1,0.0,0.0,0.0
